Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  South Africa	9,848,443	
	                  Spain	167,885,310	
	                  Sri Lanka	1,452,502	
	                  St Kitts	60,779	
	                  St Vincent	3,030	
	                  Sweden	38,752,800	
	                  Syria	1,985,790	
	                  Taiwan	268,558,908	
	                  Tanzania	96,006	
	                  Thailand	235,088,451	
	                  Togo	126,819	
	                  Trinidad	191,131	
	                  Tunisia	258,134	
	                  Turkey	33,919,876	
	                  Turks	133,117	
	                  Uganda	21,915	
	                  Ukraine	1,411,587	
	                  United Kingdom	342,820,749	
	                  Uruguay	1,504,387	
	                  USA	879,397,197	
	                  Vanuatu	53,021	
	                  Venezuela	14,042,948	
	                  Viet Nam	715,591	
	                  Yemen	1,393,944	
	                  Zambia	173,155	
	                  Zimbabwe	83,159	
1994	                  Afghanistan	77,158	
	                  Albania	6,371	
	                  Algeria	67,148	
	                  Amer. Virgin	24,103,440	
	                  Andorra	2,266,599	
	                  Angola	110,483	
	                  Anguilla	32,981	
	                  Antigua	447,305	
	                  Argentina	11,006,600	
	                  Armenia	30,960	
	                  Australia	87,014,339	
	                  Austria	108,108,946	
	                  Bahamas	7,578,684	
	                  Bahrain	36,208,574	
	                  Bangladesh	234,403	
	                  Barbados	3,338,932	
	                  Belarus	1,145,962	
	                  Belize	519,695	
	                  Benin	7,250	
	                  Bermuda	2,789,744	
	                  Bolivia	527,329	
	                  Bosnia-Herzeg.	143,069	
	                  Botswana	6,018	
	                  Brazil	21,767,755	
	                  Brunei	1,302,253	
	                  Bulgaria	988,483	
	                  Cabo Verde	8,628	
	                  Cambodia	1,549,290	
	                  Cameroon	291,985	
	                  Canada	37,277,161	
	                  Canary Islands	92,781	
	                  Cayman Islands	4,554,244	
	                  Chile	7,544,240	
	                  China	55,644,314	
	                  Colombia	17,165,293	
	                  Congo, Rep. of	164,508	
	                  Costa Rica	201,484	
	                  Côte d'Ivoire	796,581	
	                  Croatia	1,077,444	
	                  Cuba	189,220	
	                  Cyprus	4,740,810	
	                  Czech Republic	4,194,545	
	                  Denmark	23,335,710	
	                  Djibouti	37,250	
	                  Dominica	592	
	                  Dominican Rep.	442,574	
	                  Ecuador	1,124,757	
	                  Egypt	7,977,115	
	                  El Salvador	118,658	
	                  Emirates, Arab	120,245,261	
	                  Estonia	39,531	
	                  Ethiopia	106,787	
	                  Fiji	267,562	
	                  Finland	7,741,726	
	                  France	407,112,898	
	                  Gabon	455,458	
	                  Germany	732,631,052	
	                  Ghana	130,780	
	                  Gibraltar	1,216,578	
	                  Greece	52,157,978	
	                  Guadeloupe	1,542,737	
	                  Guatemala	970,207	
	                  Guiana, French	36,111	
	                  Guinea	12,823	
	                  Guinea-Bissau	1,050	
	                  Guyana	2,279	
	                  Haiti	46,528	
	                  Honduras	158,158	
	                  Hong Kong	1,506,213,418	
	                  Hungary	16,438,315	
	                  Iceland	2,367,143	
	                  India	11,148,556	
	                  Indonesia	2,582,225	
	                  Iran	6,123,891	
	                  Ireland	3,751,987	
	                  Israel	29,089,937	
	                  Italy	706,776,807	
	                  Jamaica	4,723,057	
	                  Japan	585,757,559	
	                  Jordan	7,248,776	
	                  Kazakhstan	257,674	
	                  Kenya	1,211,769	
	                  Korea (North)	351,370	
	                  Korea (South)	48,455,891	
	                  Kuwait	27,341,300	
	                  Latvia	351,550	
	                  Lebanon	14,274,662	
	                  Liberia	9,750	
	                  Libya	1,724,803	
	                  Lithuania	366,651	
	                  Macau	282,609	
	                  Macedonia	493,756	
	                  Madagascar	22,801	
	                  Malawi	25,638	
	                  Malaysia	60,747,060	
	                  Maldives	765,895	
	                  Mali	17,543	
	                  Malta	1,377,239	
	                  Martinique	310,561	
	                  Mauritania	114,014	
	                  Mauritius	5,600,870	
	                  Mexico	52,542,373	
	                  Morocco	4,448,864	
	                  Mozambique	32,560	
	                  Myanmar	29,822	
	                  Namibia	259,612	
	                  Nepal	305,701	
	                  Netherlands	57,575,640	
	                  New Zealand	2,174,396	
	                  Nicaragua	243,674	
	                  Niger	18,890	
	                  Nigeria	2,240,488	
	                  Norway	20,630,790	
	                  Oman	16,104,927	
	                  Pakistan	11,735,371	
	                  Panama	27,919,275	
	                  Papua	33,852	
	                  Paraguay	12,518,037	
	                  Peru	181,524	
	                  Philippines	5,761,547	
	                  Pitcairn Isl.	18,620	
	                  Poland	9,512,049	
	                  Polynesia, Fr.	542,658	
	                  Portugal	35,903,041	
	                  Qatar	32,801,410	
	                  Réunion	165,499	
	                  Romania	838,096	
	                  Russia	30,962,077	
	                  Sao Tomé	2,800	
	                  Saudi Arabia	127,385,869	
	                  Senegal	900	
	                  Seychelles	89,010	
	                  Sierra Leone	15,712	
	                  Singapore	494,194,063	
	                  Slovakia	515,989	
	                  Slovenia	1,840,045	
	                  South Africa	9,017,814	
	                  Spain	171,993,629	
	                  Sri Lanka	1,239,712	
	                  St Kitts	17,604	
	                  St Vincent	85	
	                  Sudan	25,545	
	                  Suriname	3,288	
	                  Sweden	42,477,031	
	                  Syria	2,565,578	
	                  Taiwan	266,562,522	
	                  Tanzania	46,918	
	                  Thailand	273,527,356	
	                  Togo	358,049	
	                  Trinidad	112,539	
	                  Tunisia	406,760	
	                  Turkey	22,922,147	
	                  Turks	198,934	
	                  Uganda	41,132	
	                  Ukraine	1,020,510	
	                  United Kingdom	323,691,488	
	                  Uruguay	2,464,597	
	                  USA	924,242,783	
	                  Vanuatu	75,383	
	                  Venezuela	8,332,676	
	                  Viet Nam	1,013,904	
	                  Yemen	865,600	
	                  Zambia	212,088	
	                  Zimbabwe	179,978	
1995	                  Afghanistan	49,066	
	                  Albania	28,131	
	                  Algeria	195,971	
	                  Amer. Virgin	19,876,787	
	                  Andorra	2,313,502	
	                  Angola	128,805	
	                  Anguilla	450,713	
	                  Antigua	85,431	
	                  Argentina	7,138,062	
	                  Armenia	58,114	
	                  Australia	82,267,919	
	                  Austria	115,158,412	
	                  Azerbaijan	5,535	
	                  Bahamas	7,633,961	
	                  Bahrain	27,576,578	
	                  Bangladesh	81,653	
	                  Barbados	2,577,366	
	                  Belarus	277,344	
	                  Belize	1,106,494	
	                  Benin	13,059	
	                  Bermuda	2,340,843	
	                  Bhutan	31,255	
	                  Bolivia	505,119	
	                  Bosnia-Herzeg.	126,633	
	                  Brazil	33,852,930	
	                  Brunei	9,907,070	
	                  Bulgaria	1,317,948	
	                  Burkina Faso	8,988	
	                  Burundi	38,541	
	                  Cambodia	1,135,797	
	                  Cameroon	354,296	
	                  Canada	35,610,258	
	                  Canary Islands	193,739	
	                  Cayman Islands	3,547,770	
	                  Chile	7,137,981	
	                  China	32,248,252	
	                  Colombia	9,063,562	
	                  Congo, Rep. of	55,332	
	                  Costa Rica	564,212	
	                  Côte d'Ivoire	958,865	
	                  Croatia	1,458,578	
	                  Cuba	25,664	
	                  Cyprus	5,612,136	
	                  Czech Republic	4,185,262	
	                  Denmark	23,408,995	
	                  Djibouti	319,433	
	                  Dominica	11,611	
	                  Dominican Rep.	852,127	
	                  Ecuador	697,588	
	                  Egypt	8,352,490	
	                  El Salvador	91,612	
	                  Emirates, Arab	123,885,762	
	                  Eritrea	5,423	
	                  Estonia	197,355	
	                  Ethiopia	22,506	
	                  Fiji	329,875	
	                  Finland	10,080,837	
	                  France	426,264,400	
	                  Gabon	494,272	
	                  Germany	678,556,851	
	                  Ghana	25,897	
	                  Gibraltar	829,294	
	                  Greece	50,135,661	
	                  Guadeloupe	1,044,166	
